character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
丁,一,"male adult; robust, vigorous; 4th heavenly stem",A nail,,,pictographic,"[],None",dīng,一
丂,⿱一？,obstruction of breath (qi); variant of 考,,,,,"[0],None",kǎo,一
七,⿻一乚,seven,,,,,"[0],[1]",qī,一
丄,⿱丨一,above,One stroke on top of another; variant of 上,,,ideographic,"[0],[1]",shàng,一
万,⿱一？,ten thousand; innumerable,,,,,"[0],None,None",wàn,一
丈,⿻一又,"gentleman, man, husband; unit of length equal to 3.3 meters",,,,,"[0],[1],[1]",zhàng,一
三,⿱一二,three,Three  parallel lines; compare 一 (one) and 二 (two),,,ideographic,"[0],[1],[1]",sān,一
上,⿱⺊一,"above, on top, superior; to go up; to attend; previous",One stroke on top of another; compare 下 (below),,,ideographic,"[0],[0],[1]",shàng,一
下,⿱一卜,"below, underneath; inferior; to bring down; next",One stroke under another; compare 上 (above),,,ideographic,"[0],[1],[1]",xià,一
丌,⿱一？,table,A table,,,pictographic,"[0],None,None",jī,一
不,⿱一？,"no, not, un-; negative prefix",A bird flying toward the sky 一,,,ideographic,"[0],None,None,None",bù,一
与,⿹？一,"and; with; to; for; to give, to grant",,,,,"None,None,[1]",yǔ,一
丏,⿱一？,"parapet; invisible, hidden",,,,,"[0],None,None,None",miǎn,一
丐,⿱下？,beggar; to beg; to give,A person leaning forward to ask for help,,,pictographic,"[0],[0],[0],None",gài,一
丑,⿻刀二,"ugly; shameful; comedian, clown",,,,,"[0],[0],[1],[1]",chǒu,一
专,⿻？一,"concentrated, specialized; to monopolize",,,,,"None,[1],None,None",zhuān,一
且,⿱月一,"moreover, also (post-subject); about to, will soon (pre-verb)",A stone altar,,,pictographic,"[0],[0],[0],[0],[1]",qiě,一
丕,⿱不一,"great, grand, glorious, distinguished",,,,,"[0],[0],[0],[0],[1]",pī,一
世,⿻廿？,"generation, era, age; world",Three leaves on a branch,,,pictographic,"[0],[0],[0],[0],None",shì,一
丘,⿱斤一,"mound, hill; surname",Two hills,,,pictographic,"[0],[0],[0],[0],[1]",qiū,一
丙,⿱一内,third; 3rd heavenly stem,,,,,"[0],[1],[1],[1],[1]",bǐng,一
业,⿱？一,"business, profession; to study, to work",,,,,"None,None,None,None,[1]",yè,一
丛,⿱从一,"bush, shrub; thicket; collection",one,从,一,pictophonetic,"[0],[0],[0],[0],[1]",cóng,一
东,⿻七小,"east, eastern, eastward","Simplified form of 東, the sun 日 rising behind a tree 木",,,pictographic,"[0],[0],[1],[1],[1]",dōng,一
丝,⿱⿰？？一,"silk, fine thread; wire; strings","Simplified form of 絲, two threads",,,ideographic,"None,None,None,None,[1]",sī,一
丞,⿱氶一,"to aid, to assist, to rescue",one,氶,一,pictophonetic,"[0],[0],[0],[0],[0],[1]",chéng,一
丟,⿱王厶,to lose; to discard,,,,,"[0],[0],[0],[0],[1],[1]",diū,一
丢,⿱王厶,to lose; to discard,A lost 厶 jade 玉,,,ideographic,"[0],[0],[0],[0],[1],[1]",diū,一
两,⿱一⿻冂从,"two, both, pair, couple; ounce",Two people 从 together in a cart,,,ideographic,"[0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1]",liǎng,一
严,⿻亚厂,"strict, rigorous, rigid; stern",,,,,"[0],[0],[0],[0],[0],[1],[1]",yán,一
並,⿱丷亚,"to combine, to annex; also, what's more",Two people sitting side-by-side; compare 竝,,,ideographic,"[0],[0],[1],[1],[1],[1],[1],[1]",bìng,一
丧,⿱？亡,mourning; mourn; funeral,Simplified form of 喪; to cry 哭 over the dead 亡,,,pictographic,"None,None,None,None,None,[1],[1],[1]",sàng,十
丨,？,number one; line,,,,,None,shù,丨
丩,⿰？丨,"to connect, to join; vine",,,,,"None,[1]",jiū,丨
个,⿱人丨,"this, that; single; measure word for individuals",A tally 丨 of people 人,,,ideographic,"[0],[0],[1]",gè,丨
丫,⿱丷丨,forked; bifurcation,A forked line 丨,,,ideographic,"[0],[0],[1]",yā,丨
丬,⿰冫丨,half of tree trunk,,,,,"[0],[0],[1]",qiáng,丬
中,⿻口丨,"central; center, middle; amidst; to hit (target), to attain; China; Chinese",A line 丨 through the center of a box 口,,,ideographic,"[0],[0],[0],[1]",zhōng,丨
丰,⿻三丨,"abundant, lush, bountiful, plenty",An ear of grass,,,pictographic,"[0],[0],[0],[1]",fēng,丨
丱,⿰丩？,a child's hair bound in two tufts; ore,Two braids 丱 of hair,,,pictographic,"[0],[0],None,None,None",guàn,丨
串,⿻⿱口口丨,string; relatives; to conspire,Two objects 口 strung 丨 together,,,ideographic,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[1]",chuàn,丨
临,⿰⿰？丨？,"to draw near, to approach; to descend",,,,,"None,[0, 1],None,None,None,None,None,None,None",lín,丨
丵,⿱业⿱丷干,thick (grass),,,,,"[0],[0],[0],[0],[0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1]",zhuó,丨
丶,？,dot,,,,,None,diǎn,丶
丷,⿰丶？,kwukyel,,,,,"[0],None",ha,丷
丸,⿻九丶,"ball, pebble, pellet, pill",A fist 九 holding a pebble 丶,,,pictographic,"[0],[0],[1]",wán,丶
丹,⿻冂亠,"cinnabar, red, vermilion; pellet, powder",A red pellet 丶 from a mine 井,,,ideographic,"[0],[0],[1],[1]",dān,丶
为,⿻丶⿴力丶,"to do, to act; to handle, to govern; to be",,,,,"[0],[1, 0],[1, 0],[1, 1]",wèi,丶
主,⿱丶王,to own; to host; master; host; lord,A lamp 王 with a flame 丶,,,pictographic,"[0],[1],[1],[1],[1]",zhǔ,丶
丽,⿱一⿰⿵冂丶⿵冂丶,"beautiful, elegant, magnificent",Simplified form of 麗; the antlers of a deer 鹿,,,ideographic,"[0],[1, 0, 0],[1, 0, 0],[1, 0, 1],[1, 1, 0],[1, 1, 0],[1, 1, 1]",lì,丶
举,⿱兴扌,to raise; to recommend; to praise,hand,舉,扌,pictophonetic,"[0],[0],[0],[0],[0],[0],[1],[1],[1]",jǔ,丶
丿,？,slash,,,,,None,piě,丿
乂,⿻丿？,to govern; to control; to nurture,"Shears, for cultivating a garden",,,ideographic,"[0],None",yì,丿
乃,⿹？丿,"then; really, indeed, after all",A pregnant woman; compare 孕,,,ideographic,"None,[1]",nǎi,丿
久,⿻勹？,long ago; a long time,,,,,"[0],[0],None",jiǔ,丿
乇,⿱丿七,"to depend on, to entrust with",,,,,"[0],[1],[1]",tuō,丿
么,⿱丿厶,interrogative particle,,,,,"[0],[1],[1]",me,丿
义,⿻丶乂,"right conduct, propriety; justice",sheep; simplified form of 義,乂,⺷,pictophonetic,"[0],[1],[1]",yì,丿
之,⿱丶？,"marks preceding phrase as modifier of following phrase; it, him her, them; to go to","A foot meaning ""to follow""; cursive version of 止",,,ideographic,"[0],None,None",zhī,丿
乌,⿱丿？,"crow, rook, raven; black, dark",Simplified form of 烏; a crow; compare 鸟,,,pictographic,"[0],None,None,None",wū,丿
乍,⿸丿⿻下一,"first time, for the first time, suddenly",,,,,"[0],[1, 0],[1, 0],[1, 0],[1, 1]",zhà,丿
乎,⿻丿⿻？丷,interrogative or exclamatory final particle,,,,,"[0],[1, 1],[1, 1],None,None",hū,丿
乏,⿱丿之,"poor; short, lacking; tired",A foot 之 running into a wall or barrier 丿,,,ideographic,"[0],[1],[1],[1]",fá,丿
乐,⿻⿱丿？小,"cheerful, happy, laughing; music","Simplified form of 樂, a musical instrument with wood 木, strings 幺, and a pick 白",,,ideographic,"[0, 0],None,[1],[1],[1]",lè,丿
乑,⿱丿？,to stand side by side,,,,,"[0],None,None,None,None,None",yín,丿
乒,⿱丘丿,used with pong for ping pong,A ball bouncing back and forth; compare 乓,,,ideographic,"[0],[0],[0],[0],[0],[1]",pīng,丿
乓,⿱丘丶,used with ping for ping pong,A ball bouncing back and forth; compare 乒,,,ideographic,"[0],[0],[0],[0],[0],[1]",pāng,丿
乔,⿱夭？,"tall, lofty; proud, stately",A person 夭 on stilts,,,ideographic,"[0],[0],[0],[0],None,None",qiáo,大
乖,⿻千北,"obedient, well-behaved; clever",,,,,"[0],[0],[0],[1],[1],[1],[1],[1]",guāi,丿
乘,⿻禾北,"ride, mount; to make use of; to ascend; to multiply",Two feet 北 climbing a beanstalk 禾,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[0],[0]",chéng,丿
乙,？,second; 2nd heavenly stem,A swallow,,,pictographic,None,yǐ,乙
乚,？,"secret, hidden, mysterious; small, minute; to conceal",,,,,None,gōu,乚
乛,？,kwukyel,,,,,None,ya,乛
乜,⿻？乚,to squint,,,,,"None,[1]",miē,乚
九,⿻丿乙,nine,An elbow,,,pictographic,"[0],[1]",jiǔ,乙
乞,⿱？乙,to beg; to request,,,,,"None,None,[1]",qǐ,乙
也,⿻？乚,"also, too",,,,,"None,None,[1]",yě,乚
习,⿹？冫,"to study, to practice; habit",,,,,"None,[1],[1]",xí,冫
乡,幺,"country, village; rural",,,,,"[],[],[]",xiāng,幺
书,⿻？丨,"book, letter, document; writing",A mark made by a pen ⺺,,,ideographic,"None,None,[1],None",shū,丨
乩,⿰占乚,to divine,divine,乚,占,pictophonetic,"[0],[0],[0],[0],[0],[1]",jī,乚
买,⿱乛头,"to buy, to purchase; to bribe, to persuade",,,,,"[0],[1],[1],[1],[1],[1]",mǎi,大
乱,⿰舌乚,"anarchy, chaos; revolt",,,,,"[0],[0],[0],[0],[0],[0],[1]",luàn,乚
乳,⿰孚乚,"breast, nipples; milk; to suckle",hidden,孚,乚,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[1]",rǔ,乚
乶,⿱甫乙,"Pholha, a place in Korea",second,甫,乙,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[1]",fǔ,乙
乹,⿰龺乚,to clean; to dry up,Heat 乚from the sun 龺; 龺 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[1]",gān,乚
