character,decomposition,definition,etymology_hint,etymology_phonetic,etymology_semantic,etymology_type,matches,pinyin,radical
啴,⿰口单,many; to pant,mouth,单,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",chǎn,口
啵,⿰口波,"onomatopoetic, the sound of a brook bubbling",The sound 口 of ripples in the water 波; 波 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",bo,口
啶,⿰口定,"in chemistry, -dine",mouth,定,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",dìng,口
啷,⿰口郎,a clanging or rattling sound,mouth,郎,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",lāng,口
啸,⿰口肃,"to roar, to howl; to scream; to whistle",mouth,肃,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",xiào,口
啻,⿱帝口,"only, merely, just; to stop at",mouth,帝,口,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]",chì,口
啼,⿰口帝,"to weep, to whimper; to howl; to crow",mouth,帝,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",tí,口
啾,⿰口秋,the wailing of a child,mouth,秋,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiū,口
喀,⿰口客,to vomit; used in transliterations,mouth,客,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kā,口
喁,⿰口禺,to breathe like a fish; to gasp for breath,mouth,禺,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yóng,口
喂,⿰口畏,interjection used to call attention,mouth,畏,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",wèi,口
喃,⿰口南,"to chatter, to keep talking; to mumble",mouth,南,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",nán,口
善,⿱羊⿱⿱丷一口,"good, virtuous, charitable, kind",To give someone food 羊 and conversation 口,,,ideographic,"[0],[0],[0],[0],[0],[0],[1, 0, 0],[1, 0, 0],[1, 0, 1],[1, 1],[1, 1],[1, 1]",shàn,口
喆,⿰吉吉,"sage; wise, sagacious",Extremely lucky 吉; 吉 also provides the pronunciation,,,ideographic,"[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",zhé,口
喇,⿰口剌,"horn, bugle; llama; final particle",mouth,剌,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lǎ,口
喈,⿰口皆,"melody, music; harmonious",mouth,皆,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiē,口
喉,⿰口侯,"throat, larynx, gullet; guttural",mouth,侯,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hóu,口
喊,⿰口咸,"to shout, to yell, to call out; to howl; to cry",mouth,咸,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hǎn,口
喋,⿰口枼,"to nag; babble, chatter",mouth,枼,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dié,口
喏,⿰口若,respectful reply of assent to superiors,mouth,若,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",nuò,口
喑,⿰口音,"dumb, mute; the sobbing of an infant",mouth,音,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yīn,口
喔,⿰口屋,"onomatopoetic, the sound of crowing or crying",mouth,屋,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ō,口
喘,⿰口耑,"to pant, to gasp, to breathe heavily",mouth,耑,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chuǎn,口
喙,⿰口彖,"beak, bill, snout; to pant",A hedgehog's 彖 mouth 口,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huì,口
喚,⿰口奐,to call,mouth,奐,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huàn,口
喜,⿱壴口,"to love; to enjoy, to be happy; joyful, glad",Singing 口 and beating drums 壴,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]",xǐ,口
喝,⿰口曷,"to drink; to shout, to call out",mouth,曷,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hē,口
喟,⿰口胃,"heave sigh, sigh",mouth,胃,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kuì,口
喧,⿰口宣,"lively, noisy; to clamor, to talk loudly",mouth,宣,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xuān,口
喨,⿰口亮,"to yell; to wail, to cry; to neigh",mouth,亮,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",liàng,口
喪,⿱⿻土⿰口口亡,mourning; mourn; funeral,To cry 哭 over the dead 亡,,,pictographic,"[0, 0],[0, 0],[0, 1, 0],[0, 1, 0],[0, 1, 0],[0, 1, 1],[0, 1, 1],[0, 1, 1],[0, 0],[1],[1],[1]",sàng,口
喬,⿱夭高,"tall, lofty; proud, stately",tall,夭,高,pictophonetic,"[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",qiáo,口
單,⿱⿰口口？,"single, individual, only; lone",,,,,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],None,None,None,None,None,None",dān,口
喱,⿰口厘,gram; the weight of one grain,A thousandth 厘 of a meal 口; 厘 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lí,口
喲,⿰口約,"ah, final particle",mouth,約,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yō,口
喳,⿰口查,to whisper,mouth,查,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhā,口
喵,⿰口苗,a cat's meow,mouth,苗,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]",miāo,口
喷,⿰口贲,"to blow, to puff, to spray, to spurt",mouth,贲,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pēn,口
喹,⿰口奎,"in chemistry, quinoline",mouth,奎,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kuí,口
喻,⿰口俞,"metaphor, analogy; example; such as, like",mouth,俞,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yù,口
喼,⿰口急,used in transliterations,mouth,急,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jié,口
喽,⿰口娄,used in onomatopoetic expressions,mouth,娄,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lóu,口
喾,⿳⺍冖告,one of five legendary emperors,,,,,"[0],[0],[0],[1],[1],[2],[2],[2],[2],[2],[2],[2]",kù,口
喿,⿱品木,the sound of birds chirping,Several birds 品 chirping in a tree 木,,,ideographic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]",zào,口
嗄,⿰口夏,hoarse,mouth,夏,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",á,口
嗅,⿰口臭,"to sniff, to smell, to scent",To taste 口 an odor 臭; 臭 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xiù,口
嗆,⿰口倉,"choking, as by smoke; something that irritates the nose or throat",mouth,倉,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qiāng,口
嗇,⿱坐回,"miserly, stingy, thrifty",,,,,"[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",sè,口
嗉,⿰口素,a bird's crop; wine pot,mouth,素,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sù,口
嗊,⿰口貢,to sing,mouth,貢,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gòng,口
嗌,⿰口益,"throat; to quarrel, to choke",mouth,益,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ài,口
嗍,⿰口朔,"to drink, to imbibe",mouth,朔,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",suō,口
嗎,⿰口馬,final interrogative particle,mouth,馬,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ma,口
嗐,⿰口害,alas!,,害,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hài,口
嗑,⿰口盍,to eat seeds; to reproach; loquacious,mouth,盍,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kē,口
嗒,⿰口荅,absent-minded,mouth,荅,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dā,口
嗓,⿰口桑,throat; voice,mouth,桑,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sǎng,口
嗔,⿰口真,"to be angry at, to rebuke, to scold",mouth,真,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chēn,口
嗖,⿰口叟,a whizzing sound,mouth,叟,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sōu,口
嗚,⿰口烏,the sound of someone crying or sobbing,mouth,烏,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",wū,口
嗜,⿰口耆,"addicted to, fond of, with a weakness for",mouth,耆,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",shì,口
嗝,⿰口鬲,"the cackling of a fowl; to gag, to vomit",mouth,鬲,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gé,口
嗟,⿰口差,"sigh, alas",mouth,差,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiē,口
嗡,⿰口翁,the droning sound made by an airplane or a bee flying,mouth,翁,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",wēng,口
嗣,⿰⿱口冊司,"to connect; to inherit; descendants, heirs",book,司,冊,pictophonetic,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[0, 1],[0, 1],[1],[1],[1],[1],[1]",sì,口
嗤,⿰口蚩,"to laugh at, to ridicule, to sneer at; to snort",To laugh 蚩 out loud 口; 蚩 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chī,口
嗥,⿰口皋,"to call out; to roar, to bark; to wail; to yelp",mouth,皋,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",háo,口
嗦,⿰口索,to suck,mouth,索,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",suo,口
嗨,⿰口海,an exclamation,mouth,海,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hāi,口
嗩,⿰口⿱⺌貝,a flute-like musical instrument,A mouth 口 blowing ⺌ through a conch 貝,,,ideographic,"[0],[0],[0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1],[1, 1]",suǒ,口
嗪,⿰口秦,used in transliterations,mouth,秦,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qín,口
嗫,⿰口聂,to move the lips as if speaking; hesitation,mouth,聂,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",niè,口
嗬,⿰口荷,"hey, hello; interrogative particle",mouth,荷,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hē,口
嗯,⿰口恩,interjection indicating agreement or appreciation,mouth,恩,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",en,口
嗲,⿰口爹,"childish, coquettish, coy; inviting; ""daddy""",mouth,爹,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",diǎ,口
嗳,⿰口爱,interjection indicating regret,mouth,爱,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",āi,口
嗵,⿰口通,onomatopoetic,mouth,通,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",tōng,口
嗶,⿰口畢,used in transliterations,mouth,畢,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bì,口
嗷,⿰口敖,clamor; the sound of wailing,mouth,敖,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",áo,口
嗽,⿰口欶,to gargle; to cough; to clear the throat,mouth,欶,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sòu,口
嗾,⿰口族,"to set a dog on; to incite, to instigate, to urge on",,,,,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sǒu,口
嘀,⿰口啇,to whisper,mouth,啇,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dí,口
嘁,⿰口戚,ashamed; grieving; onomatopoetic,mouth,戚,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qī,口
嘅,⿰口既,the sound of a sigh,mouth,既,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kǎi,口
嘆,⿰口堇,"to sigh, to admire",mouth,堇,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",tàn,口
嘈,⿰口曹,"bustling, noisy",mouth,曹,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",cáo,口
嘉,⿱壴加,excellent; joyful; auspicious,drum,加,壴,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]",jiā,口
嘌,⿰口票,"fast, speedy",mouth,票,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",piào,口
嘍,⿰口婁,used in onomatopoetic expressions,mouth,婁,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lóu,口
嘎,⿰口戛,"a cackling sound; bad, malevolent",mouth,戛,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gā,口
嘏,⿰古叚,"felicity, prosperity; large and strong",false,古,叚,pictophonetic,"[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gǔ,口
嘔,⿰口區,"to vomit; to annoy, to enrage",mouth,區,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ǒu,口
嘖,⿰口責,interjection of approval or admiration,mouth,責,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zé,口
嘗,⿱尚旨,"to taste; to experience, to experiment with",purpose,尚,旨,pictophonetic,"[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]",cháng,口
嘘,⿰口虚,"to blow, to exhale, to hiss, to sigh; to praise",mouth,虚,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xū,口
嘚,⿰口得,onomatopoeic; the sound of a horse's hooves,mouth,得,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dē,口
嘛,⿰口麻,final exclamatory particle,mouth,麻,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ma,口
嘜,⿰口麥,mark,mouth,麥,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mà,口
嘞,⿰口勒,final particle used to indicate polite refusal,mouth,勒,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lei,口
嘟,⿰口都,the sound of a horn tooting,mouth,都,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dū,口
嘢,⿰口野,"thing; matter, substance",mouth,野,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yě,口
嘣,⿰口崩,"onomatopoetic, the sound of an explosion; bang",mouth,崩,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",bēng,口
嘤,⿰口婴,"onomatopoetic, a bird call; to seek friends",mouth,婴,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yīng,口
嘧,⿰口密,"in chemistry, -mi as in pyramidine",mouth,密,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",mì,口
嘩,⿰口華,"uproar, tumult, hubbub",mouth,華,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huā,口
嘬,⿰口最,to lap; to suck,mouth,最,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chuài,口
嘭,⿰口彭,"onomatopoetic, the sound of a crash or bang",mouth,彭,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pēng,口
嘮,⿰口勞,"to chat, to gossip, to jaw, to talk",mouth,勞,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",láo,口
嘯,⿰口肅,"to roar, to howl; to scream; to whistle",mouth,肅,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xiào,口
嘰,⿰口幾,to grumble; to sigh,mouth,幾,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jī,口
嘱,⿰口属,"to instruct, to order, to tell; testament",mouth,属,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zhǔ,口
嘲,⿰口朝,"to deride, to jeer at, to ridicule, to scorn",mouth,朝,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",cháo,口
嘴,⿰口觜,"mouth, lips",mouth,觜,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zuǐ,口
嘶,⿰口斯,"the neighing of a hoarse, gravel-voiced, hoarse",mouth,斯,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sī,口
嘸,⿰口無,unclear; an expletive,mouth,無,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",fǔ,口
嘹,⿰口尞,"a clear sound, such as a bell or a soprano; resonant",mouth,尞,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",liáo,口
嘻,⿰口喜,"happy, giggling, laughing; an interjection",A happy 喜 sound 口; 喜 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xī,口
嘼,⿱⿰口口⿳田一口,,,,,,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[1, 0],[1, 0],[1, 0],[1, 0],[1, 0],[1, 1],[1, 2],[1, 2],[1, 2]",chù,口
嘽,⿰口單,many; to pant,mouth,單,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",chǎn,口
嘿,⿰口黑,"quiet, silent",mouth,黑,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hēi,口
噁,⿰口惡,"bad, wicked; foul, nauseating",foul,惡,惡,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ě,口
噌,⿰口曾,"to scold, to shout at",mouth,曾,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",cēng,口
噍,⿰口焦,"to chew, to eat, to munch",mouth,焦,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jiào,口
噎,⿰口壹,to choke; to hiccup,mouth,壹,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yē,口
噓,⿰口虛,"to blow, to exhale, to hiss, to sigh; to praise",mouth,虛,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",xū,口
噔,⿰口登,for (a recipient of pity or sympathy); surname,mouth,登,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dēng,口
噗,⿰口菐,to burst,mouth,菐,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pū,口
噘,⿰口厥,to pout,mouth,厥,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",juē,口
噙,⿰口禽,to bite; to hold in the mouth,mouth,禽,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",qín,口
噜,⿰口鲁,"verbose, talkative; mumbling",mouth,鲁,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",lū,口
噠,⿰口達,a sound made to get a horse to move,mouth,達,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dā,口
噢,⿰口奥,to moan; interjection indicating pain or sadness,mouth,奥,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",ō,口
噤,⿰口禁,"close; quiet, silent",Forbidden 禁 to speak 口; 禁 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jìn,口
噥,⿰口農,to whisper,mouth,農,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",nóng,口
噦,⿰口歲,to belch; to vomit,mouth,歲,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huì,口
器,⿳⿰口口犬⿰口口,"device, instrument, tool; receptacle, vessel",Four cooking vessels 口 guarded by a dog 犬,,,ideographic,"[0, 0],[0, 0],[0, 0],[0, 1],[0, 1],[0, 1],[1],[1],[1],[1],[2, 0],[2, 0],[2, 0],[2, 1],[2, 1],[2, 1]",qì,口
噩,⿻王⿱⿰口口⿰口口,"bad, ill-omened, unlucky",A jade statue 王 with four holes made in it 口,,,ideographic,"[0],[0],[1, 0, 0],[1, 0, 0],[1, 0, 0],[1, 0, 1],[1, 0, 1],[1, 0, 1],[0],[1, 1, 0],[1, 1, 0],[1, 1, 0],[1, 1, 1],[1, 1, 1],[1, 1, 1],[0]",è,口
噪,⿰口喿,to be noisy; to chirp loudly,The sound 口 of birds chirping 喿; 喿 also provides the pronunciation,,,ideographic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",zào,口
噫,⿰口意,belch; interjection of approval,mouth,意,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",yī,口
噬,⿰口筮,"to bite, to gnaw; to snap at",mouth,筮,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",shì,口
噯,⿰口愛,interjection indicating regret,mouth,愛,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",āi,口
噱,⿰口豦,to laugh heartily,mouth,豦,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",jué,口
噲,⿰口會,"to swallow, to gulp down; greedy",mouth,會,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",kuài,口
噴,⿰口賁,"to blow, to puff, to spray, to spurt",mouth,賁,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pēn,口
噶,⿰口葛,used in transliterations,mouth,葛,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",gá,口
噸,⿰口頓,a metric ton,mouth,頓,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dūn,口
噹,⿰口當,"appropriate, timely; to act, to serve; the sound of bells",mouth,當,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",dāng,口
噻,⿰口塞,character used in translation,mouth,塞,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",sāi,口
噼,⿰口辟,"onomatopoetic, the sound of something cracking",mouth,辟,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",pī,口
嚀,⿰口寧,"to enjoin, to instruct; to charge",mouth,寧,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",níng,口
嚄,⿰口蒦,to roar,mouth,蒦,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",huō,口
嚅,⿰口需,"to mumble, to stutter",mouth,需,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",rú,口
嚆,⿰口蒿,"noise, sound",mouth,蒿,口,pictophonetic,"[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]",hāo,口
